date,block,balanus,herbivores,fucus_raw,fucus_cover,plot,timediff,percent_cover
2006-06-12,A,no,con,0,0,1,0,0
2006-06-12,A,no,in,0,0,2,0,0
2006-06-12,A,out,no,0,0,3,0,0
2006-06-12,A,yes,con,0,0,4,0,0
2006-06-12,A,yes,in,0,0,5,0,0
2006-06-12,A,yes,out,0,0,6,0,0
2006-06-12,B,no,con,0,0,7,0,0
2006-06-12,B,no,out,0,0,8,0,0
2006-06-12,B,no,out,0,0,9,0,0
2006-06-12,B,yes,con,0,0,10,0,0
2006-06-12,B,yes,in,0,0,11,0,0
2006-06-12,B,yes,out,0,0,12,0,0
2006-06-12,C,no,con,0,0,13,0,0
2006-06-12,C,no,in,0,0,14,0,0
2006-06-12,C,no,out,0,0,15,0,0
2006-06-12,C,yes,con,0,0,16,0,0
2006-06-12,C,yes,in,0,0,17,0,0
2006-06-12,C,yes,out,0,0,18,0,0
2006-06-12,D,no,con,0,0,19,0,0
2006-06-12,D,no,in,0,0,20,0,0
2006-06-12,D,no,out,0,0,21,0,0
2006-06-12,D,yes,con,0,0,22,0,0
2006-06-12,D,yes,in,0,0,23,0,0
2006-06-12,D,yes,out,0,0,24,0,0
2006-06-12,E,no,con,0,0,25,0,0
2006-06-12,E,no,in,0,0,26,0,0
2006-06-12,E,no,out,0,0,27,0,0
2006-06-12,E,yes,con,0.217,0.006027778,28,0,0.6027778
2006-06-12,E,yes,in,0,0,29,0,0
2006-06-12,E,yes,in,0,0,30,0,0
2006-06-12,F,no,con,0,0,31,0,0
2006-06-12,F,no,in,0,0,32,0,0
2006-06-12,F,no,out,0,0,33,0,0
2006-06-12,F,yes,con,0,0,34,0,0
2006-06-12,F,yes,in,0,0,35,0,0
2006-06-12,F,yes,out,0,0,36,0,0
2006-07-11,A,no,con,0,0,1,4.14285714285714,0
2006-07-11,A,no,in,0,0,2,4.14285714285714,0
2006-07-11,A,no,out,0,0,3,4.14285714285714,0
2006-07-11,A,yes,con,0,0,4,4.14285714285714,0
2006-07-11,A,yes,in,0,0,5,4.14285714285714,0
2006-07-11,A,yes,out,0,0,6,4.14285714285714,0
2006-07-11,B,no,con,0,0,7,4.14285714285714,0
2006-07-11,B,no,in,0,0,8,4.14285714285714,0
2006-07-11,B,no,out,0,0,9,4.14285714285714,0
2006-07-11,B,yes,con,0.816,0.022666667,10,4.14285714285714,2.2666667
2006-07-11,B,yes,in,0,0,11,4.14285714285714,0
2006-07-11,B,yes,out,0.543,0.015083333,12,4.14285714285714,1.5083333
2006-07-11,C,no,con,0,0,13,4.14285714285714,0
2006-07-11,C,no,in,0,0,14,4.14285714285714,0
2006-07-11,C,no,out,0,0,15,4.14285714285714,0
2006-07-11,C,yes,con,0.458,0.012722222,16,4.14285714285714,1.2722222
2006-07-11,C,yes,in,0.208,0.005777778,17,4.14285714285714,0.5777778
2006-07-11,C,yes,out,0.401,0.011138889,18,4.14285714285714,1.1138889
2006-07-11,D,no,con,0,0,19,4.14285714285714,0
2006-07-11,D,no,in,0,0,20,4.14285714285714,0
2006-07-11,D,no,out,0,0,21,4.14285714285714,0
2006-07-11,D,yes,con,0,0,22,4.14285714285714,0
2006-07-11,D,yes,in,0,0,23,4.14285714285714,0
2006-07-11,D,yes,out,0,0,24,4.14285714285714,0
2006-07-11,E,no,con,0,0,25,4.14285714285714,0
2006-07-11,E,no,in,0,0,26,4.14285714285714,0
2006-07-11,E,no,out,0,0,27,4.14285714285714,0
2006-07-11,E,yes,con,0.511,0.014194444,28,4.14285714285714,1.4194444000000002
2006-07-11,E,yes,in,0.737,0.020472222,29,4.14285714285714,2.0472222
2006-07-11,E,yes,out,0.816,0.022666667,30,4.14285714285714,2.2666667
2006-07-11,F,no,con,0,0,31,4.14285714285714,0
2006-07-11,F,no,in,0,0,32,4.14285714285714,0
2006-07-11,F,no,out,0,0,33,4.14285714285714,0
2006-07-11,F,yes,con,0,0,34,4.14285714285714,0
2006-07-11,F,yes,in,0.201,0.005583333,35,4.14285714285714,0.5583333
2006-07-11,F,yes,out,0.151,0.004194444,36,4.14285714285714,0.41944440000000005
2006-08-11,A,no,con,0,0,1,8.57142857142857,0
2006-08-11,A,no,in,0,0,2,8.57142857142857,0
2006-08-11,A,no,out,0,0,3,8.57142857142857,0
2006-08-11,A,yes,con,0,0,4,8.57142857142857,0
2006-08-11,A,yes,in,0,0,5,8.57142857142857,0
2006-08-11,A,yes,out,0,0,6,8.57142857142857,0
2006-08-11,B,no,con,0,0,7,8.57142857142857,0
2006-08-11,B,no,in,0,0,8,8.57142857142857,0
2006-08-11,B,no,out,0,0,9,8.57142857142857,0
2006-08-11,B,yes,con,0,0,10,8.57142857142857,0
2006-08-11,B,yes,in,0,0,11,8.57142857142857,0
2006-08-11,B,yes,out,1.379,0.038305556,12,8.57142857142857,3.8305556
2006-08-11,C,no,con,0,0,13,8.57142857142857,0
2006-08-11,C,no,in,0,0,14,8.57142857142857,0
2006-08-11,C,no,out,0,0,15,8.57142857142857,0
2006-08-11,C,yes,con,1,0.027777778,16,8.57142857142857,2.7777778
2006-08-11,C,yes,in,5,0.138888889,17,8.57142857142857,13.8888889
2006-08-11,C,yes,out,2,0.055555556,18,8.57142857142857,5.5555556
2006-08-11,D,no,con,0,0,19,8.57142857142857,0
2006-08-11,D,no,in,0,0,20,8.57142857142857,0
2006-08-11,D,no,out,0,0,21,8.57142857142857,0
2006-08-11,D,yes,con,0,0,22,8.57142857142857,0
2006-08-11,D,yes,in,0,0,23,8.57142857142857,0
2006-08-11,D,yes,out,0,0,24,8.57142857142857,0
2006-08-11,E,no,con,0,0,25,8.57142857142857,0
2006-08-11,E,no,in,0,0,26,8.57142857142857,0
2006-08-11,E,no,out,0,0,27,8.57142857142857,0
2006-08-11,E,yes,con,1,0.027777778,28,8.57142857142857,2.7777778
2006-08-11,E,yes,in,1,0.027777778,29,8.57142857142857,2.7777778
2006-08-11,E,yes,out,1,0.027777778,30,8.57142857142857,2.7777778
2006-08-11,F,no,con,0,0,31,8.57142857142857,0
2006-08-11,F,no,in,0,0,32,8.57142857142857,0
2006-08-11,F,no,out,0,0,33,8.57142857142857,0
2006-08-11,F,yes,con,0,0,34,8.57142857142857,0
2006-08-11,F,yes,in,0,0,35,8.57142857142857,0
2006-08-11,F,yes,out,1,0.027777778,36,8.57142857142857,2.7777778
2006-09-08,A,no,con,0,0,1,12.5714285714286,0
2006-09-08,A,no,in,0,0,2,12.5714285714286,0
2006-09-08,A,no,out,0,0,3,12.5714285714286,0
2006-09-08,A,no,out,0,0,4,12.5714285714286,0
2006-09-08,A,yes,con,0,0,5,12.5714285714286,0
2006-09-08,A,yes,in,0,0,6,12.5714285714286,0
2006-09-08,B,no,con,0.156,0.004333333,7,12.5714285714286,0.4333333
2006-09-08,B,no,in,0,0,8,12.5714285714286,0
