plot_location,location,timediff,plot,block,barnacles,biomass
13_BP,BP,0,13,A,yes,0.127896205
14_BP,BP,0,14,B,yes,0.107557518
15_BP,BP,0,15,C,yes,0.076738021
16_BP,BP,0,16,D,yes,0.088483705
17_BP,BP,0,17,E,yes,0.033836641
18_BP,BP,0,18,F,yes,0.03206006
31_BP,BP,0,31,A,no,0.089445251
32_BP,BP,0,32,B,no,0.039494697
33_BP,BP,0,33,C,no,0
34_BP,BP,0,34,D,no,0.000723259
35_BP,BP,0,35,E,no,0.000444611
36_BP,BP,0,36,F,no,0.003639322
13_BP,BP,3.714285714,13,A,yes,0.024063489
14_BP,BP,3.714285714,14,B,yes,0.135716592
15_BP,BP,3.714285714,15,C,yes,0.103597461
16_BP,BP,3.714285714,16,D,yes,0.08605063
17_BP,BP,3.714285714,17,E,yes,0.002539591
18_BP,BP,3.714285714,18,F,yes,0.065438268
31_BP,BP,3.714285714,31,A,no,0
32_BP,BP,3.714285714,32,B,no,0.031968511
33_BP,BP,3.714285714,33,C,no,0.012517624
34_BP,BP,3.714285714,34,D,no,0.000849162
35_BP,BP,3.714285714,35,E,no,0.004822273
36_BP,BP,3.714285714,36,F,no,0.06292037
13_BP,BP,8.142857143,13,A,yes,0.075475985
14_BP,BP,8.142857143,14,B,yes,0.04995735
15_BP,BP,8.142857143,15,C,yes,0.0839368
16_BP,BP,8.142857143,16,D,yes,0.105438354
17_BP,BP,8.142857143,17,E,yes,0.011187053
18_BP,BP,8.142857143,18,F,yes,0.002670074
31_BP,BP,8.142857143,31,A,no,0.022968076
32_BP,BP,8.142857143,32,B,no,0.135920143
33_BP,BP,8.142857143,33,C,no,0.044763547
34_BP,BP,8.142857143,34,D,no,0.019337918
35_BP,BP,8.142857143,35,E,no,0
36_BP,BP,8.142857143,36,F,no,0.008510211
13_BP,BP,12.14285714,13,A,yes,0.113330638
14_BP,BP,12.14285714,14,B,yes,0.102369856
15_BP,BP,12.14285714,15,C,yes,0.105421198
16_BP,BP,12.14285714,16,D,yes,0.046103833
17_BP,BP,12.14285714,17,E,yes,0.021548939
18_BP,BP,12.14285714,18,F,yes,0.004728386
31_BP,BP,12.14285714,31,A,no,0.013486474
32_BP,BP,12.14285714,32,B,no,0.085164318
33_BP,BP,12.14285714,33,C,no,0
34_BP,BP,12.14285714,34,D,no,0.020165106
35_BP,BP,12.14285714,35,E,no,0
36_BP,BP,12.14285714,36,F,no,0.01141902
13_BP,BP,16.14285714,13,A,yes,0.089208248
14_BP,BP,16.14285714,14,B,yes,0.100374825
15_BP,BP,16.14285714,15,C,yes,0.071012269
16_BP,BP,16.14285714,16,D,yes,0.044298258
17_BP,BP,16.14285714,17,E,yes,0.002759577
18_BP,BP,16.14285714,18,F,yes,0.024583444
31_BP,BP,16.14285714,31,A,no,0.029170135
32_BP,BP,16.14285714,32,B,no,0.054137386
33_BP,BP,16.14285714,33,C,no,0
34_BP,BP,16.14285714,34,D,no,0.034427811
35_BP,BP,16.14285714,35,E,no,0.000893067
36_BP,BP,16.14285714,36,F,no,0.033080924
13_BP,BP,24.29166667,13,A,yes,0.082229147
14_BP,BP,24.29166667,14,B,yes,0.063924708
15_BP,BP,24.29166667,15,C,yes,0.044651172
16_BP,BP,24.29166667,16,D,yes,0.111754723
17_BP,BP,24.29166667,17,E,yes,0.0348127
18_BP,BP,24.29166667,18,F,yes,0.044841243
31_BP,BP,24.29166667,31,A,no,0.00909225
32_BP,BP,24.29166667,32,B,no,0.031001765
33_BP,BP,24.29166667,33,C,no,0.041468014
34_BP,BP,24.29166667,34,D,no,0.020077366
35_BP,BP,24.29166667,35,E,no,0.003468648
36_BP,BP,24.29166667,36,F,no,0.034514529
13_BP,BP,32.7202381,13,A,yes,0.024343569
14_BP,BP,32.7202381,14,B,yes,0.06696707
15_BP,BP,32.7202381,15,C,yes,0.052180354
16_BP,BP,32.7202381,16,D,yes,0.070359864
17_BP,BP,32.7202381,17,E,yes,0.016434899
18_BP,BP,32.7202381,18,F,yes,0.033836194
31_BP,BP,32.7202381,31,A,no,0.018471586
32_BP,BP,32.7202381,32,B,no,0.000459496
33_BP,BP,32.7202381,33,C,no,0
34_BP,BP,32.7202381,34,D,no,0.020917625
35_BP,BP,32.7202381,35,E,no,0.001854172
36_BP,BP,32.7202381,36,F,no,0.011035306
13_BP,BP,42.14285714,13,A,yes,0.036064274
14_BP,BP,42.14285714,14,B,yes,0.09162744
15_BP,BP,42.14285714,15,C,yes,0.048716216
16_BP,BP,42.14285714,16,D,yes,0.057060683
17_BP,BP,42.14285714,17,E,yes,0.018507408
18_BP,BP,42.14285714,18,F,yes,0.002409789
31_BP,BP,42.14285714,31,A,no,0.040466909
32_BP,BP,42.14285714,32,B,no,0.000364366
33_BP,BP,42.14285714,33,C,no,0.068070852
34_BP,BP,42.14285714,34,D,no,0.034386676
35_BP,BP,42.14285714,35,E,no,0.003100272
36_BP,BP,42.14285714,36,F,no,0.008509391
13_BP,BP,50.71428571,13,A,yes,0.041126282
14_BP,BP,50.71428571,14,B,yes,0.118994525
15_BP,BP,50.71428571,15,C,yes,0.067970281
16_BP,BP,50.71428571,16,D,yes,0.087177195
17_BP,BP,50.71428571,17,E,yes,0.028734486
18_BP,BP,50.71428571,18,F,yes,0.048737475
31_BP,BP,50.71428571,31,A,no,0.010777274
32_BP,BP,50.71428571,32,B,no,0.028498705
33_BP,BP,50.71428571,33,C,no,0.027504816
34_BP,BP,50.71428571,34,D,no,0.024679342
35_BP,BP,50.71428571,35,E,no,0
36_BP,BP,50.71428571,36,F,no,0.0274113
13_BP,BP,56.71428571,13,A,yes,0.000519807
14_BP,BP,56.71428571,14,B,yes,0.097593957
15_BP,BP,56.71428571,15,C,yes,0.02583842
16_BP,BP,56.71428571,16,D,yes,0.002577593
17_BP,BP,56.71428571,17,E,yes,0
18_BP,BP,56.71428571,18,F,yes,0.008046943
31_BP,BP,56.71428571,31,A,no,0
32_BP,BP,56.71428571,32,B,no,0.00419086
33_BP,BP,56.71428571,33,C,no,0
34_BP,BP,56.71428571,34,D,no,0
35_BP,BP,56.71428571,35,E,no,0.000276787
36_BP,BP,56.71428571,36,F,no,0.000719986
7_PA,PA,0,7,A,no,0.023111508
8_PA,PA,0,8,A,no,0.084899054
9_PA,PA,0,9,A,no,0.052734775
10_PA,PA,0,10,A,no,0.147341283
11_PA,PA,0,11,A,no,0.059636139
12_PA,PA,0,12,A,no,0.063780918
29_PA,PA,0,29,A,yes,0.03924023
30_PA,PA,0,30,A,yes,0.148548115
31_PA,PA,0,31,A,yes,0.05540434
32_PA,PA,0,32,A,yes,0.06275969
33_PA,PA,0,33,A,yes,0.051678676
34_PA,PA,0,34,A,yes,0.041445554
7_PA,PA,15.71428571,7,A,no,0
8_PA,PA,15.71428571,8,A,no,0.085684456
9_PA,PA,15.71428571,9,A,no,0.027921802
10_PA,PA,15.71428571,10,A,no,0.034778452
11_PA,PA,15.71428571,11,A,no,0
12_PA,PA,15.71428571,12,A,no,0
29_PA,PA,15.71428571,29,A,yes,0.178246254
30_PA,PA,15.71428571,30,A,yes,0.043628449
31_PA,PA,15.71428571,31,A,yes,0.044806155
32_PA,PA,15.71428571,32,A,yes,0.04857625
33_PA,PA,15.71428571,33,A,yes,0.112445737
34_PA,PA,15.71428571,34,A,yes,0.073163006
7_PA,PA,19.99404762,7,A,no,0
8_PA,PA,19.99404762,8,A,no,0.009310915
9_PA,PA,19.99404762,9,A,no,0.004800121
10_PA,PA,19.99404762,10,A,no,0.036029335
11_PA,PA,19.99404762,11,A,no,0
12_PA,PA,19.99404762,12,A,no,0
29_PA,PA,19.99404762,29,A,yes,0.189898918
30_PA,PA,19.99404762,30,A,yes,0.036878866
31_PA,PA,19.99404762,31,A,yes,0.047988869
32_PA,PA,19.99404762,32,A,yes,0.03540273
33_PA,PA,19.99404762,33,A,yes,0.071786087
34_PA,PA,19.99404762,34,A,yes,0.048914307
7_PA,PA,24.42261905,7,A,no,0
8_PA,PA,24.42261905,8,A,no,0.032642745
9_PA,PA,24.42261905,9,A,no,0.013917505
10_PA,PA,24.42261905,10,A,no,0.055676285
11_PA,PA,24.42261905,11,A,no,0.00427492
12_PA,PA,24.42261905,12,A,no,0
29_PA,PA,24.42261905,29,A,yes,0.158139819
30_PA,PA,24.42261905,30,A,yes,0.056786751
31_PA,PA,24.42261905,31,A,yes,0.033137484
32_PA,PA,24.42261905,32,A,yes,0.095668673
33_PA,PA,24.42261905,33,A,yes,0.037769566
34_PA,PA,24.42261905,34,A,yes,0.08003246
7_PA,PA,33.13690476,7,A,no,0
8_PA,PA,33.13690476,8,A,no,0.009661159
9_PA,PA,33.13690476,9,A,no,0
10_PA,PA,33.13690476,10,A,no,0.088424113
11_PA,PA,33.13690476,11,A,no,0.011542031
12_PA,PA,33.13690476,12,A,no,0.009114708
29_PA,PA,33.13690476,29,A,yes,0.076836481
30_PA,PA,33.13690476,30,A,yes,0.077914689
31_PA,PA,33.13690476,31,A,yes,0.144575129
32_PA,PA,33.13690476,32,A,yes,0.135778841
33_PA,PA,33.13690476,33,A,yes,0.098660029
34_PA,PA,33.13690476,34,A,yes,0.108748266
7_PA,PA,37.56547619,7,A,no,0
8_PA,PA,37.56547619,8,A,no,0
9_PA,PA,37.56547619,9,A,no,0
10_PA,PA,37.56547619,10,A,no,0.106426572
11_PA,PA,37.56547619,11,A,no,0.006856221
12_PA,PA,37.56547619,12,A,no,0.023742455
29_PA,PA,37.56547619,29,A,yes,0.122362067
30_PA,PA,37.56547619,30,A,yes,0.063865229
31_PA,PA,37.56547619,31,A,yes,0.127523396
32_PA,PA,37.56547619,32,A,yes,0.103321965
33_PA,PA,37.56547619,33,A,yes,0.104240715
34_PA,PA,37.56547619,34,A,yes,0.100006249
7_PA,PA,41.85119048,7,A,no,0
8_PA,PA,41.85119048,8,A,no,0.020619148
9_PA,PA,41.85119048,9,A,no,0
10_PA,PA,41.85119048,10,A,no,0.068579961
11_PA,PA,41.85119048,11,A,no,0.007033951
12_PA,PA,41.85119048,12,A,no,0.013892188
29_PA,PA,41.85119048,29,A,yes,0.115127998
30_PA,PA,41.85119048,30,A,yes,0.056122591
31_PA,PA,41.85119048,31,A,yes,0.137773863
