date,block,barnacles,limpets,plot_location,plot,species,count,location,timediff
2006-06-15,A,yes,in,1_BP,1,Littorina,33,BP,0
2006-06-15,B,yes,in,2_BP,2,Littorina,3,BP,0
2006-06-15,C,yes,in,3_BP,3,Littorina,14,BP,0
2006-06-15,D,yes,in,4_BP,4,Littorina,34,BP,0
2006-06-15,E,yes,in,5_BP,5,Littorina,9,BP,0
2006-06-15,F,yes,in,6_BP,6,Littorina,7,BP,0
2006-06-15,A,yes,out,7_BP,7,Littorina,13,BP,0
2006-06-15,B,yes,out,8_BP,8,Littorina,15,BP,0
2006-06-15,C,yes,out,9_BP,9,Littorina,7,BP,0
2006-06-15,D,yes,out,10_BP,10,Littorina,30,BP,0
2006-06-15,E,yes,out,11_BP,11,Littorina,23,BP,0
2006-06-15,F,yes,out,12_BP,12,Littorina,18,BP,0
2006-06-15,A,yes,con,13_BP,13,Lottia,9,BP,0
2006-06-15,A,yes,con,13_BP,13,Littorina,17,BP,0
2006-06-15,B,yes,con,14_BP,14,Lottia,8,BP,0
2006-06-15,B,yes,con,14_BP,14,Littorina,13,BP,0
2006-06-15,C,yes,con,15_BP,15,Lottia,3,BP,0
2006-06-15,C,yes,con,15_BP,15,Littorina,26,BP,0
2006-06-15,D,yes,con,16_BP,16,Lottia,4,BP,0
2006-06-15,D,yes,con,16_BP,16,Littorina,37,BP,0
2006-06-15,E,yes,con,17_BP,17,Lottia,2,BP,0
2006-06-15,E,yes,con,17_BP,17,Littorina,8,BP,0
2006-06-15,F,yes,con,18_BP,18,Lottia,1,BP,0
2006-06-15,F,yes,con,18_BP,18,Littorina,15,BP,0
2006-06-15,A,no,in,19_BP,19,Littorina,0,BP,0
2006-06-15,B,no,in,20_BP,20,Littorina,0,BP,0
2006-06-15,C,no,in,21_BP,21,Littorina,2,BP,0
2006-06-15,D,no,in,22_BP,22,Littorina,0,BP,0
2006-06-15,E,no,in,23_BP,23,Littorina,0,BP,0
2006-06-15,F,no,in,24_BP,24,Littorina,0,BP,0
2006-06-15,A,no,out,25_BP,25,Littorina,1,BP,0
2006-06-15,B,no,out,26_BP,26,Littorina,0,BP,0
2006-06-15,C,no,out,27_BP,27,Littorina,0,BP,0
2006-06-15,D,no,out,28_BP,28,Littorina,0,BP,0
2006-06-15,E,no,out,29_BP,29,Littorina,0,BP,0
2006-06-15,F,no,out,30_BP,30,Littorina,0,BP,0
2006-06-15,A,no,con,31_BP,31,Lottia,9,BP,0
2006-06-15,A,no,con,31_BP,31,Littorina,1,BP,0
2006-06-15,B,no,con,32_BP,32,Lottia,3,BP,0
2006-06-15,B,no,con,32_BP,32,Littorina,0,BP,0
2006-06-15,C,no,con,33_BP,33,Lottia,0,BP,0
2006-06-15,C,no,con,33_BP,33,Littorina,0,BP,0
2006-06-15,D,no,con,34_BP,34,Lottia,0,BP,0
2006-06-15,D,no,con,34_BP,34,Littorina,1,BP,0
2006-06-15,E,no,con,35_BP,35,Lottia,0,BP,0
2006-06-15,E,no,con,35_BP,35,Littorina,1,BP,0
2006-06-15,F,no,con,36_BP,36,Lottia,1,BP,0
