date,time,number,temp,site,dss
2006-06-13,00:01:00,1,13.5,BP,-8.29166666666667
2006-06-13,01:01:00,1,13,BP,-8.29166666666667
2006-06-13,02:01:00,1,13.5,BP,-8.29166666666667
2006-06-13,03:01:00,1,13,BP,-8.29166666666667
2006-06-13,04:01:00,1,13,BP,-8.29166666666667
2006-06-13,05:01:00,1,13.5,BP,-8.29166666666667
2006-06-13,06:01:00,1,13.5,BP,-8.29166666666667
2006-06-13,07:01:00,1,13.5,BP,-8.29166666666667
2006-06-13,08:01:00,1,14,BP,-8.29166666666667
2006-06-13,09:01:00,1,15.5,BP,-8.29166666666667
2006-06-13,10:01:00,1,20,BP,-8.29166666666667
2006-06-13,11:01:00,1,21.5,BP,-8.29166666666667
2006-06-13,12:01:00,1,25,BP,-8.29166666666667
2006-06-13,13:01:00,1,25.5,BP,-8.29166666666667
2006-06-13,14:01:00,1,20.5,BP,-8.29166666666667
2006-06-13,15:01:00,1,18,BP,-8.29166666666667
2006-06-13,16:01:00,1,19.5,BP,-8.29166666666667
2006-06-13,17:01:00,1,20.5,BP,-8.29166666666667
2006-06-13,18:01:00,1,23,BP,-8.29166666666667
2006-06-13,19:01:00,1,20,BP,-8.29166666666667
2006-06-13,20:01:00,1,18,BP,-8.29166666666667
2006-06-13,21:01:00,1,16.5,BP,-8.29166666666667
2006-06-13,22:01:00,1,15.5,BP,-8.29166666666667
2006-06-13,23:01:00,1,15.5,BP,-8.29166666666667
2006-06-14,00:01:00,1,14,BP,-7.29166666666667
2006-06-14,01:01:00,1,13,BP,-7.29166666666667
2006-06-14,02:01:00,1,12.5,BP,-7.29166666666667
2006-06-14,03:01:00,1,12.5,BP,-7.29166666666667
2006-06-14,04:01:00,1,12.5,BP,-7.29166666666667
2006-06-14,05:01:00,1,12.5,BP,-7.29166666666667
2006-06-14,06:01:00,1,12.5,BP,-7.29166666666667
2006-06-14,07:01:00,1,13.5,BP,-7.29166666666667
2006-06-14,08:01:00,1,15,BP,-7.29166666666667
2006-06-14,09:01:00,1,17,BP,-7.29166666666667
2006-06-14,10:01:00,1,21.5,BP,-7.29166666666667
2006-06-14,11:01:00,1,22.5,BP,-7.29166666666667
2006-06-14,12:01:00,1,22,BP,-7.29166666666667
2006-06-14,13:01:00,1,23.5,BP,-7.29166666666667
2006-06-14,14:01:00,1,22.5,BP,-7.29166666666667
2006-06-14,15:01:00,1,18,BP,-7.29166666666667
2006-06-14,16:01:00,1,15,BP,-7.29166666666667
2006-06-14,17:01:00,1,15,BP,-7.29166666666667
2006-06-14,18:01:00,1,16,BP,-7.29166666666667
2006-06-14,19:01:00,1,15,BP,-7.29166666666667
2006-06-14,20:01:00,1,14,BP,-7.29166666666667
2006-06-14,21:01:00,1,13.5,BP,-7.29166666666667
2006-06-14,22:01:00,1,13,BP,-7.29166666666667
2006-06-14,23:01:00,1,13,BP,-7.29166666666667
2006-06-15,00:01:00,1,12.5,BP,-6.29166666666667
2006-06-15,01:01:00,1,13,BP,-6.29166666666667
2006-06-15,02:01:00,1,12.5,BP,-6.29166666666667
2006-06-15,03:01:00,1,12,BP,-6.29166666666667
2006-06-15,04:01:00,1,12.5,BP,-6.29166666666667
2006-06-15,05:01:00,1,12.5,BP,-6.29166666666667
2006-06-15,06:01:00,1,12,BP,-6.29166666666667
2006-06-15,07:01:00,1,13,BP,-6.29166666666667
2006-06-15,08:01:00,1,15,BP,-6.29166666666667
2006-06-15,09:01:00,1,18,BP,-6.29166666666667
2006-06-15,10:01:00,1,20.5,BP,-6.29166666666667
2006-06-15,11:01:00,1,26.5,BP,-6.29166666666667
2006-06-15,12:01:00,1,28.5,BP,-6.29166666666667
2006-06-15,13:01:00,1,28.5,BP,-6.29166666666667
2006-06-15,14:01:00,1,30.5,BP,-6.29166666666667
2006-06-15,15:01:00,1,29.5,BP,-6.29166666666667
2006-06-15,16:01:00,1,21.5,BP,-6.29166666666667
2006-06-15,17:01:00,1,17.5,BP,-6.29166666666667
2006-06-15,18:01:00,1,16.5,BP,-6.29166666666667
2006-06-15,19:01:00,1,16,BP,-6.29166666666667
2006-06-15,20:01:00,1,15.5,BP,-6.29166666666667
2006-06-15,21:01:00,1,14.5,BP,-6.29166666666667
2006-06-15,22:01:00,1,14,BP,-6.29166666666667
2006-06-15,23:01:00,1,14,BP,-6.29166666666667
2006-06-16,00:01:00,1,13.5,BP,-5.29166666666667
2006-06-16,01:01:00,1,13.5,BP,-5.29166666666667
2006-06-16,02:01:00,1,13,BP,-5.29166666666667
2006-06-16,03:01:00,1,12.5,BP,-5.29166666666667
2006-06-16,04:01:00,1,12.5,BP,-5.29166666666667
2006-06-16,05:01:00,1,12,BP,-5.29166666666667
2006-06-16,06:01:00,1,12,BP,-5.29166666666667
2006-06-16,07:01:00,1,12.5,BP,-5.29166666666667
2006-06-16,08:01:00,1,14,BP,-5.29166666666667
2006-06-16,09:01:00,1,15.5,BP,-5.29166666666667
2006-06-16,10:01:00,1,18,BP,-5.29166666666667
2006-06-16,11:01:00,1,18,BP,-5.29166666666667
2006-06-16,12:01:00,1,21,BP,-5.29166666666667
2006-06-16,13:01:00,1,19.5,BP,-5.29166666666667
2006-06-16,14:01:00,1,19,BP,-5.29166666666667
2006-06-16,15:01:00,1,21.5,BP,-5.29166666666667
2006-06-16,16:01:00,1,18,BP,-5.29166666666667
2006-06-16,17:01:00,1,14,BP,-5.29166666666667
2006-06-16,18:01:00,1,13,BP,-5.29166666666667
2006-06-16,19:01:00,1,13.5,BP,-5.29166666666667
2006-06-16,20:01:00,1,13.5,BP,-5.29166666666667
2006-06-16,21:01:00,1,13,BP,-5.29166666666667
2006-06-16,22:01:00,1,12,BP,-5.29166666666667
2006-06-16,23:01:00,1,11.5,BP,-5.29166666666667
2006-06-17,00:01:00,1,11.5,BP,-4.29166666666667
2006-06-17,01:01:00,1,11.5,BP,-4.29166666666667
2006-06-17,02:01:00,1,12,BP,-4.29166666666667
2006-06-17,03:01:00,1,12.5,BP,-4.29166666666667
2006-06-17,04:01:00,1,12.5,BP,-4.29166666666667
2006-06-17,05:01:00,1,12,BP,-4.29166666666667
2006-06-17,06:01:00,1,12,BP,-4.29166666666667
2006-06-17,07:01:00,1,12.5,BP,-4.29166666666667
2006-06-17,08:01:00,1,14,BP,-4.29166666666667
2006-06-17,09:01:00,1,16,BP,-4.29166666666667
2006-06-17,10:01:00,1,19.5,BP,-4.29166666666667
2006-06-17,11:01:00,1,18.5,BP,-4.29166666666667
2006-06-17,12:01:00,1,23,BP,-4.29166666666667
2006-06-17,13:01:00,1,27,BP,-4.29166666666667
2006-06-17,14:01:00,1,31,BP,-4.29166666666667
2006-06-17,15:01:00,1,32,BP,-4.29166666666667
2006-06-17,16:01:00,1,26.5,BP,-4.29166666666667
2006-06-17,17:01:00,1,17.5,BP,-4.29166666666667
2006-06-17,18:01:00,1,14.5,BP,-4.29166666666667
2006-06-17,19:01:00,1,14.5,BP,-4.29166666666667
