month,year,humidity,mean_temp,mean_max_temp,mean_min_temp,max_temp,min_temp
7,2017,59.3,NA,NA,NA,NA,NA
8,2017,54.3,NA,NA,NA,NA,NA
9,2017,48.8,NA,NA,NA,NA,NA
10,2017,44.2,NA,NA,NA,NA,NA
11,2017,49.9,NA,NA,NA,NA,NA
12,2017,41.5,NA,NA,NA,NA,NA
1,2018,42,NA,NA,NA,NA,NA
2,2018,48.9,NA,NA,NA,NA,NA
3,2018,47.3,NA,NA,NA,NA,NA
4,2018,44.6,NA,NA,NA,NA,NA
5,2018,57.5,NA,NA,NA,NA,NA
6,2018,49.2,NA,NA,NA,NA,NA
7,2018,61.3,NA,NA,NA,NA,NA
8,2018,51.4,NA,NA,NA,NA,NA
9,2018,53.1,NA,NA,NA,NA,NA
10,2018,51.5,NA,NA,NA,NA,NA
11,2018,50.3,NA,NA,NA,NA,NA
12,2018,46,NA,NA,NA,NA,NA
1,2019,41.8,NA,NA,NA,NA,NA
2,2019,43.4,NA,NA,NA,NA,NA
3,2019,56.1,NA,NA,NA,NA,NA
4,2019,53,NA,NA,NA,NA,NA
5,2019,58.4,NA,NA,NA,NA,NA
6,2019,60.7,NA,NA,NA,NA,NA
7,2019,62.4,NA,NA,NA,NA,NA
8,2019,57.4,NA,NA,NA,NA,NA
9,2019,53.3,NA,NA,NA,NA,NA
10,2019,50.1,NA,NA,NA,NA,NA
11,2019,43.5,NA,NA,NA,NA,NA
12,2019,47.5,NA,NA,NA,NA,NA
1,2020,42.1,NA,NA,NA,NA,NA
2,2020,47.6,NA,NA,NA,NA,NA
3,2020,51,NA,NA,NA,NA,NA
4,2020,53.6,NA,NA,NA,NA,NA
5,2020,57.9,NA,NA,NA,NA,NA
1,2007,49.2,20.5,27,13.8,28.1,5.6
2,2007,47.3,20,26.9,13,39.1,5.8
3,2007,53,17.899999999999999,23.7,11.6,35.2,3.9
4,2007,48.6,15.1,21.8,8.5,32.1,2
5,2007,63.4,9.1,14.4,4.5,20.8,-2.8
