date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
15-Jun-06,A,yes,in,1,,,5,5,33,,,,,0,,,,,,,1.531478917,,,,,,,171,3,2.235528447,0.602059991,
15-Jun-06,B,yes,in,2,,,9,9,3,,,,,0,,,,,,,0.602059991,,,,,,,95,55,1.982271233,1.748188027,
15-Jun-06,C,yes,in,3,,,8,8,14,,,,,0,,,,,,,1.176091259,,,,,,,53,12,1.73239376,1.113943352,
15-Jun-06,D,yes,in,4,,,5,5,34,,,,,0,,,,,,,1.544068044,,,,,,,14,0,1.176091259,0,
15-Jun-06,E,yes,in,5,,,2,2,9,,,,,0,,,,,,,1,,,,,,,55,5,1.748188027,0.77815125,
15-Jun-06,F,yes,in,6,,,3,3,7,,,,,0,,,,,,,0.903089987,,,,,,,95,91,1.982271233,1.963787827,
15-Jun-06,A,yes,out,7,,,,,13,,,,,0,,,,,,,1.146128036,,,,,,,124,15,2.096910013,1.204119983,
15-Jun-06,B,yes,out,8,,,,,15,,,,,0,,,,,,,1.204119983,,,,,,,280,30,2.44870632,1.491361694,
15-Jun-06,C,yes,out,9,,,,,7,,,,,0,,,,,,,0.903089987,,,,,,,208,34,2.320146286,1.544068044,
15-Jun-06,D,yes,out,10,,,,,30,,,,,0,,,,,,,1.491361694,,,,,,,23,7,1.380211242,0.903089987,
15-Jun-06,E,yes,out,11,,,,,23,,,,,0,,,,,,,1.380211242,,,,,,,45,13,1.662757832,1.146128036,
15-Jun-06,F,yes,out,12,,,,,18,,,,,0,,,,,,,1.278753601,,,,,,,291,97,2.465382851,1.991226076,
15-Jun-06,A,yes,con,13,,,9,9,17,,,,,0,,,,,,,1.255272505,,,,,,,67,11,1.832508913,1.079181246,
15-Jun-06,B,yes,con,14,,,8,8,13,,,,,0,,,,,,,1.146128036,,,,,,,318,62,2.503790683,1.799340549,
15-Jun-06,C,yes,con,15,,,3,3,26,,,,,0,,,,,,,1.431363764,,,,,,,138,43,2.1430148,1.643452676,
15-Jun-06,D,yes,con,16,,,4,4,37,,,,,0,,,,,,,1.579783597,,,,,,,37,8,1.579783597,0.954242509,
15-Jun-06,E,yes,con,17,,,2,2,8,,,,,0,,,,,,,0.954242509,,,,,,,77,10,1.892094603,1.041392685,
15-Jun-06,F,yes,con,18,,,1,1,15,,,,,0,,,,,,,1.204119983,,,,,,,131,183,2.120573931,2.264817823,
15-Jun-06,A,no,in,19,,,6,6,0,,,,,0,,,,,,,0,,,,,,,6,2,0.84509804,0.477121255,
15-Jun-06,B,no,in,20,,,7,7,0,,,,,0,,,,,,,0,,,,,,,39,72,1.602059991,1.86332286,
15-Jun-06,C,no,in,21,,,8,8,2,,,,,0,,,,,,,0.477121255,,,,,,,34,37,1.544068044,1.579783597,
15-Jun-06,D,no,in,22,,,5,5,0,,,,,0,,,,,,,0,,,,,,,3,1,0.602059991,0.301029996,
15-Jun-06,E,no,in,23,,,2,2,0,,,,,0,,,,,,,0,,,,,,,2,6,0.477121255,0.84509804,
15-Jun-06,F,no,in,24,,,3,3,0,,,,,0,,,,,,,0,,,,,,,60,46,1.785329835,1.672097858,
15-Jun-06,A,no,out,25,,,,,1,,,,,0,,,,,,,0.301029996,,,,,,,81,3,1.913813852,0.602059991,
15-Jun-06,B,no,out,26,,,,,0,,,,,0,,,,,,,0,,,,,,,309,35,2.491361694,1.556302501,
15-Jun-06,C,no,out,27,,,,,0,,,,,0,,,,,,,0,,,,,,,215,6,2.334453751,0.84509804,
15-Jun-06,D,no,out,28,,,,,0,,,,,0,,,,,,,0,,,,,,,16,9,1.230448921,1,
15-Jun-06,E,no,out,29,,,,,0,,,,,0,,,,,,,0,,,,,,,35,2,1.556302501,0.477121255,
15-Jun-06,F,no,out,30,,,,,0,,,,,0,,,,,,,0,,,,,,,160,112,2.206825876,2.053078443,
15-Jun-06,A,no,con,31,,,9,9,1,,,,,0,,,,,,,0.301029996,,,,,,,27,19,1.447158031,1.301029996,
15-Jun-06,B,no,con,32,,,3,3,0,,,,,0,,,,,,,0,,,,,,,55,78,1.748188027,1.897627091,
15-Jun-06,C,no,con,33,,,0,0,0,,,,,0,,,,,,,0,,,,,,,22,18,1.361727836,1.278753601,
15-Jun-06,D,no,con,34,,,0,0,1,,,,,0,,,,,,,0.301029996,,,,,,,30,3,1.491361694,0.602059991,
15-Jun-06,E,no,con,35,,,0,0,1,,,,,0,,,,,,,0.301029996,,,,,,,10,15,1.041392685,1.204119983,
15-Jun-06,F,no,con,36,,,1,1,0,,,,,0,,,,,,,0,,,,,,,71,122,1.857332496,2.089905111,
11-Jul-06,A,yes,in,1,13,2,2,2,7,,,,,0,,,,,1.146128036,0.477121255,0.903089987,,,-3,-0.6,-23,-0.793103448,,,,,
11-Jul-06,B,yes,in,2,9,4,8,8,2,,,,,0,,,,,1,0.698970004,0.477121255,,,-1,-0.111111111,-1,-0.037037037,,,,,
11-Jul-06,C,yes,in,3,16,0,8,8,23,,,,,0,,,,,1.230448921,0,1.380211242,,,0,0,5,0.263157895,,,,,
11-Jul-06,D,yes,in,4,1,0,5,5,11,,,,,0,,,,,0.301029996,0,1.079181246,,,0,0,-1,-0.071428571,,,,,
11-Jul-06,E,yes,in,5,9,4,2,2,12,,,,,0,,,,,1,0.698970004,1.113943352,,,0,0,-1,-0.166666667,,,,,
11-Jul-06,F,yes,in,6,5,17,3,3,8,,,,,0,,,,,0.77815125,1.255272505,0.954242509,,,0,0,12,1.5,,,,,
11-Jul-06,A,yes,out,7,7,1,,,9,,,,,0,,,,,0.903089987,0.301029996,1,,,,,,,,,,,
