barnacles,herbivores,Dens Siph,%ephem,%peren,plot
no,con,2,10,50,7
no,con,6,30,40,8
no,con,3,20,80,9
no,con,8,20,70,10
no,con,4,20,80,11
no,con,4,50,50,12
no,out,0,50,50,1
no,out,0,90,10,2
no,out,0,50,50,3
no,out,0,70,30,4
no,out,0,40,60,5
no,out,0,70,30,6
no,in,17,2,75,13
no,in,3,20,70,14
no,in,5,10,85,15
no,in,2,10,60,16
no,in,4,10,75,17
no,in,5,10,50,18
yes,con,3,1,10,29
yes,con,8,5,40,30
yes,con,5,0,20,31
yes,con,6,1,50,32
yes,con,3,0,70,33
yes,con,5,0,60,34
yes,out,0,5,25,19
yes,out,0,10,25,20
yes,out,0,5,10,
yes,out,0,15,60,21
yes,out,0,10,30,
yes,out,0,10,25,22
yes,in,6,5,15,23
yes,in,6,10,30,24
yes,in,4,2,50,25
yes,in,4,5,25,26
yes,in,5,0,40,27
yes,in,4,2,30,28
