date,block,barnacles,herbivores,fucus_raw,fucus_cover,plot
2006-06-12,A,no,con,0,0,1
2006-06-12,A,no,in,0,0,2
2006-06-12,A,out,no,0,0,3
2006-06-12,A,yes,con,0,0,4
2006-06-12,A,yes,in,0,0,5
2006-06-12,A,yes,out,0,0,6
2006-06-12,B,no,con,0,0,7
2006-06-12,B,no,out,0,0,8
2006-06-12,B,no,out,0,0,9
2006-06-12,B,yes,con,0,0,10
2006-06-12,B,yes,in,0,0,11
2006-06-12,B,yes,out,0,0,12
2006-06-12,C,no,con,0,0,13
2006-06-12,C,no,in,0,0,14
2006-06-12,C,no,out,0,0,15
2006-06-12,C,yes,con,0,0,16
2006-06-12,C,yes,in,0,0,17
2006-06-12,C,yes,out,0,0,18
2006-06-12,D,no,con,0,0,19
2006-06-12,D,no,in,0,0,20
2006-06-12,D,no,out,0,0,21
2006-06-12,D,yes,con,0,0,22
2006-06-12,D,yes,in,0,0,23
2006-06-12,D,yes,out,0,0,24
2006-06-12,E,no,con,0,0,25
2006-06-12,E,no,in,0,0,26
2006-06-12,E,no,out,0,0,27
2006-06-12,E,yes,con,0.217,0.006027778,28
2006-06-12,E,yes,in,0,0,29
2006-06-12,E,yes,in,0,0,30
2006-06-12,F,no,con,0,0,31
2006-06-12,F,no,in,0,0,32
2006-06-12,F,no,out,0,0,33
2006-06-12,F,yes,con,0,0,34
2006-06-12,F,yes,in,0,0,35
2006-06-12,F,yes,out,0,0,36
2006-07-11,A,no,con,0,0,1
2006-07-11,A,no,in,0,0,2
2006-07-11,A,no,out,0,0,3
2006-07-11,A,yes,con,0,0,4
2006-07-11,A,yes,in,0,0,5
2006-07-11,A,yes,out,0,0,6
2006-07-11,B,no,con,0,0,7
2006-07-11,B,no,in,0,0,8
2006-07-11,B,no,out,0,0,9
2006-07-11,B,yes,con,0.816,0.022666667,10
2006-07-11,B,yes,in,0,0,11
2006-07-11,B,yes,out,0.543,0.015083333,12
2006-07-11,C,no,con,0,0,13
2006-07-11,C,no,in,0,0,14
2006-07-11,C,no,out,0,0,15
2006-07-11,C,yes,con,0.458,0.012722222,16
2006-07-11,C,yes,in,0.208,0.005777778,17
2006-07-11,C,yes,out,0.401,0.011138889,18
2006-07-11,D,no,con,0,0,19
2006-07-11,D,no,in,0,0,20
2006-07-11,D,no,out,0,0,21
2006-07-11,D,yes,con,0,0,22
2006-07-11,D,yes,in,0,0,23
2006-07-11,D,yes,out,0,0,24
2006-07-11,E,no,con,0,0,25
2006-07-11,E,no,in,0,0,26
2006-07-11,E,no,out,0,0,27
2006-07-11,E,yes,con,0.511,0.014194444,28
2006-07-11,E,yes,in,0.737,0.020472222,29
2006-07-11,E,yes,out,0.816,0.022666667,30
2006-07-11,F,no,con,0,0,31
2006-07-11,F,no,in,0,0,32
2006-07-11,F,no,out,0,0,33
2006-07-11,F,yes,con,0,0,34
2006-07-11,F,yes,in,0.201,0.005583333,35
2006-07-11,F,yes,out,0.151,0.004194444,36
2006-08-11,A,no,con,0,0,1
2006-08-11,A,no,in,0,0,2
2006-08-11,A,no,out,0,0,3
2006-08-11,A,yes,con,0,0,4
2006-08-11,A,yes,in,0,0,5
2006-08-11,A,yes,out,0,0,6
2006-08-11,B,no,con,0,0,7
2006-08-11,B,no,in,0,0,8
2006-08-11,B,no,out,0,0,9
2006-08-11,B,yes,con,0,0,10
2006-08-11,B,yes,in,0,0,11
2006-08-11,B,yes,out,1.379,0.038305556,12
2006-08-11,C,no,con,0,0,13
2006-08-11,C,no,in,0,0,14
2006-08-11,C,no,out,0,0,15
2006-08-11,C,yes,con,1,0.027777778,16
2006-08-11,C,yes,in,5,0.138888889,17
2006-08-11,C,yes,out,2,0.055555556,18
2006-08-11,D,no,con,0,0,19
2006-08-11,D,no,in,0,0,20
2006-08-11,D,no,out,0,0,21
2006-08-11,D,yes,con,0,0,22
2006-08-11,D,yes,in,0,0,23
2006-08-11,D,yes,out,0,0,24
2006-08-11,E,no,con,0,0,25
2006-08-11,E,no,in,0,0,26
2006-08-11,E,no,out,0,0,27
2006-08-11,E,yes,con,1,0.027777778,28
2006-08-11,E,yes,in,1,0.027777778,29
2006-08-11,E,yes,out,1,0.027777778,30
2006-08-11,F,no,con,0,0,31
2006-08-11,F,no,in,0,0,32
2006-08-11,F,no,out,0,0,33
2006-08-11,F,yes,con,0,0,34
2006-08-11,F,yes,in,0,0,35
2006-08-11,F,yes,out,1,0.027777778,36
2006-09-08,A,no,con,0,0,1
2006-09-08,A,no,in,0,0,2
2006-09-08,A,no,out,0,0,3
2006-09-08,A,no,out,0,0,4
2006-09-08,A,yes,con,0,0,5
2006-09-08,A,yes,in,0,0,6
2006-09-08,B,no,con,0.156,0.004333333,7
2006-09-08,B,no,in,0,0,8
2006-09-08,B,no,out,0,0,9
2006-09-08,B,yes,con,1.703,0.047305556,10
2006-09-08,B,yes,in,1.626,0.045166667,11
2006-09-08,B,yes,out,2.862,0.0795,12
2006-09-08,C,no,con,0,0,13
2006-09-08,C,no,in,0,0,14
2006-09-08,C,no,out,0,0,15
2006-09-08,C,yes,con,0.556,0.015444444,16
2006-09-08,C,yes,in,2.653,0.073694444,17
2006-09-08,C,yes,out,1.197,0.03325,18
2006-09-08,D,no,con,0,0,19
2006-09-08,D,no,in,0,0,20
2006-09-08,D,no,out,0,0,21
2006-09-08,D,yes,con,0,0,22
2006-09-08,D,yes,in,0.163,0.004527778,23
2006-09-08,D,yes,out,0,0,24
2006-09-08,E,no,con,0,0,25
2006-09-08,E,no,in,0,0,26
2006-09-08,E,no,out,0,0,27
2006-09-08,E,yes,con,0.697,0.019361111,28
2006-09-08,E,yes,in,2.729,0.075805556,29
2006-09-08,E,yes,out,0.966,0.026833333,30
2006-09-08,F,no,con,0,0,31
2006-09-08,F,no,in,0,0,32
2006-09-08,F,no,out,0,0,33
2006-09-08,F,yes,con,0,0,34
2006-09-08,F,yes,in,0,0,35
2006-09-08,F,yes,out,0.802,0.022277778,36
2006-10-06,A,no,con,0,0,1
2006-10-06,A,no,in,0,0,2
2006-10-06,A,no,out,0,0,3
2006-10-06,A,yes,con,0,0,4
2006-10-06,A,yes,in,0,0,5
2006-10-06,A,yes,out,0,0,6
