date,sp,barnacles,size_mm
2006-10-06,ldig,yes,8.45
2006-10-06,ldig,yes,7.76
2006-10-06,ldig,yes,8.31
2006-10-06,ldig,yes,10.06
2006-10-06,ldig,yes,8.16
2006-10-06,ldig,no,10.36
2006-10-06,ldig,no,10.81
2006-10-06,ldig,no,8.59
2006-10-06,ldig,no,10.71
2006-10-06,ldig,yes,6.78
2006-10-06,ldig,no,8.87
2006-10-06,ldig,no,7.67
2006-10-06,ldig,no,10.08
2006-10-06,ldig,yes,9.76
2006-10-06,ldig,yes,7.12
2006-10-06,ldig,yes,7.86
2006-10-06,ldig,yes,7.37
2006-10-06,ldig,yes,6.11
2006-10-06,ldig,no,8.21
2006-10-06,ldig,no,5.94
2006-10-06,ldig,no,6.53
2006-10-06,ldig,no,6.99
2006-10-06,ldig,no,8.78
2006-10-06,ldig,yes,9.3
2006-10-06,ldig,yes,8.2
2006-10-06,ldig,yes,7.09
2006-10-06,ldig,no,8.12
2006-10-06,ldig,no,8.18
2006-10-06,ldig,no,7.43
2007-04-06,ldig,no,7.29
2007-04-06,ldig,no,7.35
2007-04-06,ldig,no,9.28
2007-04-06,ldig,no,8.14
2007-04-06,ldig,no,7.36
2007-04-06,ldig,no,7.1
2007-04-06,ldig,no,8.13
2007-04-06,ldig,no,7.89
2007-04-06,ldig,no,8.03
2007-04-06,ldig,yes,8.05
2007-04-06,ldig,yes,9.99
2007-04-06,ldig,no,10.22
2007-04-06,ldig,no,10.01
2007-04-06,ldig,no,8.06
2007-04-06,ldig,no,7.3
2007-04-06,ldig,no,6.1
2007-04-06,ldig,yes,9.03
2007-04-06,ldig,yes,6.92
2007-04-06,ldig,yes,9.59
2007-04-06,ldig,yes,9.18
2007-04-06,ldig,yes,7.24
2007-04-06,ldig,no,8.92
2007-04-06,ldig,no,7.94
2007-04-06,ldig,yes,6.81
2007-04-06,ldig,yes,7.38
2007-04-06,ldig,yes,7.32
2007-04-06,ldig,yes,8.14
2007-04-06,ldig,yes,6.05
2007-04-06,ldig,no,7.22
2007-04-06,ldig,no,6.53
2007-04-06,ldig,no,6.33
2007-04-06,ldig,no,7.95
2007-04-06,ldig,no,7.78
2007-04-06,ldig,no,8.66
2007-04-06,ldig,no,7.45
2007-04-06,ldig,no,7.82
2007-04-06,ldig,no,7.98
2007-10-27,ldig,yes,9.1
2007-10-27,ldig,yes,8.98
2007-10-27,ldig,yes,7.87
2007-10-27,ldig,yes,9.24
2007-10-27,ldig,yes,8.98
2007-10-27,ldig,yes,7.87
2007-10-27,ldig,yes,9.24
2007-10-27,ldig,yes,10.29
2006-10-06,ldig,yes,10.604
2006-10-06,ldig,yes,8.175
2006-10-06,ldig,yes,12.143
2006-10-06,ldig,yes,10.641
2006-10-06,ldig,yes,8.737
2006-10-06,ldig,yes,8.3
2006-10-06,ldig,yes,8.992
2006-10-06,ldig,yes,8.742
2006-10-06,ldig,yes,7.168
2006-10-06,ldig,yes,8.415
2006-10-06,ldig,yes,10.609
2006-10-06,ldig,yes,7.29
2006-10-06,ldig,yes,10.108
2006-10-06,ldig,yes,10.715
2006-10-06,ldig,yes,8.254
2006-10-06,ldig,yes,9.234
2006-10-06,ldig,yes,10.699
2006-10-06,ldig,yes,8.647
2006-10-06,ldig,yes,10.63
2006-10-06,ldig,yes,10.085
2006-10-06,ldig,yes,10.215
2006-10-06,ldig,yes,8.021
2006-10-06,ldig,yes,7.992
2006-10-06,ldig,yes,8.191
2006-10-06,ldig,yes,9.808
2006-10-06,ldig,yes,9.473
2006-10-06,ldig,yes,10.316
2006-10-06,ldig,yes,11.526
2006-10-06,ldig,yes,9.227
2006-10-06,ldig,yes,8.705
2006-10-06,ldig,yes,9.268
2006-10-06,ldig,yes,8.529
2006-10-06,ldig,yes,7.21
2006-10-06,ldig,yes,7.156
2006-10-06,ldig,yes,6.75
2006-10-06,ldig,yes,8.305
2006-10-06,ldig,yes,8.722
2006-10-06,ldig,yes,6.7
2006-10-06,ldig,yes,8.098
2006-10-06,ldig,yes,8.051
2006-10-06,ldig,yes,7.227
2006-10-06,ldig,yes,9.196
2006-10-06,ldig,yes,6.936
2006-10-06,ldig,yes,6.2
2006-10-06,ldig,yes,4.909
2006-10-06,ldig,yes,5.881
2006-10-06,ldig,yes,6.511
2006-10-06,ldig,yes,7.285
2006-10-06,ldig,yes,8.046
2006-10-06,ldig,yes,6.235
2006-10-06,ldig,yes,6.288
2006-10-06,ldig,yes,7.221
2006-10-06,ldig,yes,7.043
2006-10-06,ldig,yes,6.924
2006-10-06,ldig,yes,6.196
2006-10-06,ldig,yes,6.624
2006-10-06,ldig,yes,8.704
2006-10-06,ldig,yes,6.208
2006-10-06,ldig,yes,5.813
2006-10-06,ldig,yes,5.293
2007-04-06,ldig,yes,6.351
2007-04-06,ldig,yes,9.667
2007-04-06,ldig,yes,10.289
2007-04-06,ldig,yes,10.577
2007-04-06,ldig,yes,10.374
2007-04-06,ldig,yes,8.032
2007-04-06,ldig,yes,7.248
2007-04-06,ldig,yes,5.566
2007-04-06,ldig,yes,7.539
2007-04-06,ldig,yes,7.226
2007-04-06,ldig,yes,7.537
2007-04-06,ldig,yes,7.037
2007-04-06,ldig,yes,7.586
2007-04-06,ldig,yes,6.724
2007-04-06,ldig,yes,6.866
2007-04-06,ldig,yes,8.686
2007-04-06,ldig,yes,7.79
2007-04-06,ldig,yes,10.179
2007-04-06,ldig,yes,8.198
2007-04-06,ldig,yes,9.881
2007-04-06,ldig,yes,8.091
2007-04-06,ldig,yes,9.8
2007-04-06,ldig,yes,7.236
