size_mm,dw_g,sp
2.858823529,0.001124122,littorina
3.564705882,0.001264637,littorina
4.094117647,0.001967213,littorina
4.905882353,0.003091335,littorina
5.435294118,0.003512881,littorina
6.176470588,0.006042155,littorina
7.058823529,0.007587822,littorina
7.235294118,0.008852459,littorina
7.8,0.008149883,littorina
9.6,0.011662763,littorina
9.388235294,0.013489461,littorina
9.741176471,0.013911007,littorina
10.02352941,0.018126464,littorina
10.27058824,0.021077283,littorina
11.01176471,0.021779859,littorina
11.36470588,0.023185012,littorina
12.24705882,0.024168618,littorina
12.6,0.02529274,littorina
11.29411765,0.026978923,littorina
11.78823529,0.026838407,littorina
12.07058824,0.028384075,littorina
12.56470588,0.02824356,littorina
13.02352941,0.032177986,littorina
12.67058824,0.038360656,littorina
12.95294118,0.037236534,littorina
13.23529412,0.039203747,littorina
13.37647059,0.04440281,littorina
13.83529412,0.042435597,littorina
14.50588235,0.044262295,littorina
14.57647059,0.043278689,littorina
13.97647059,0.048056206,littorina
14.11764706,0.052271663,littorina
1.827461608,0.01057282,lottia
2.282746161,0.008837539,lottia
3.699186992,0.015778663,lottia
6.177958446,0.015778663,lottia
6.683830172,0.02619035,lottia
7.088527552,0.028793271,lottia
7.44263776,0.021852147,lottia
7.948509485,0.02705799,lottia
8.45438121,0.030528552,lottia
8.504968383,0.035734396,lottia
8.707317073,0.040072598,lottia
9.162601626,0.030528552,lottia
9.466124661,0.035734396,lottia
9.617886179,0.04267552,lottia
10.6802168,0.051351926,lottia
11.03432701,0.049616645,lottia
11.38843722,0.057425409,lottia
11.74254743,0.053087207,lottia
11.69196025,0.061763612,lottia
12.45076784,0.060895972,lottia
13.36133695,0.069572377,lottia
13.71544715,0.062631253,lottia
14.12014453,0.069572377,lottia
13.66485998,0.075645861,lottia
13.66485998,0.085189907,lottia
15.94128275,0.088660469,lottia
16.29539295,0.091263391,lottia
16.75067751,0.097336875,lottia
15.58717254,0.103410359,lottia
15.94128275,0.113822045,lottia
16.49774164,0.116424967,lottia
16.59891599,0.122498451,lottia
17.8635953,0.123366091,lottia
18.36946703,0.145057105,lottia
18.31887986,0.157204073,lottia
19.78590786,0.161542275,lottia
19.78590786,0.208394865,lottia
20.19060524,0.182365649,lottia
20.59530262,0.197983178,lottia
21.30352304,0.191042054,lottia
21.96115628,0.207527224,lottia
21.40469738,0.243100487,lottia
22.87172538,0.254379814,lottia
25.14814815,0.320320496,lottia
25.6034327,0.340276228,lottia
26.21047877,0.388864099,lottia
26.96928636,0.394069942,lottia
