date,time,number,temp
06/13/2006,0:01:00,1,13.5
06/13/2006,1:01:00,1,13
06/13/2006,2:01:00,1,13.5
06/13/2006,3:01:00,1,13
06/13/2006,4:01:00,1,13
06/13/2006,5:01:00,1,13.5
06/13/2006,6:01:00,1,13.5
06/13/2006,7:01:00,1,13.5
06/13/2006,8:01:00,1,14
06/13/2006,9:01:00,1,15.5
06/13/2006,10:01:00,1,20
06/13/2006,11:01:00,1,21.5
06/13/2006,12:01:00,1,25
06/13/2006,13:01:00,1,25.5
06/13/2006,14:01:00,1,20.5
06/13/2006,15:01:00,1,18
06/13/2006,16:01:00,1,19.5
06/13/2006,17:01:00,1,20.5
06/13/2006,18:01:00,1,23
06/13/2006,19:01:00,1,20
06/13/2006,20:01:00,1,18
06/13/2006,21:01:00,1,16.5
06/13/2006,22:01:00,1,15.5
06/13/2006,23:01:00,1,15.5
06/14/2006,0:01:00,1,14
06/14/2006,1:01:00,1,13
06/14/2006,2:01:00,1,12.5
06/14/2006,3:01:00,1,12.5
06/14/2006,4:01:00,1,12.5
06/14/2006,5:01:00,1,12.5
06/14/2006,6:01:00,1,12.5
06/14/2006,7:01:00,1,13.5
06/14/2006,8:01:00,1,15
06/14/2006,9:01:00,1,17
06/14/2006,10:01:00,1,21.5
06/14/2006,11:01:00,1,22.5
06/14/2006,12:01:00,1,22
06/14/2006,13:01:00,1,23.5
06/14/2006,14:01:00,1,22.5
06/14/2006,15:01:00,1,18
06/14/2006,16:01:00,1,15
06/14/2006,17:01:00,1,15
06/14/2006,18:01:00,1,16
06/14/2006,19:01:00,1,15
06/14/2006,20:01:00,1,14
06/14/2006,21:01:00,1,13.5
06/14/2006,22:01:00,1,13
06/14/2006,23:01:00,1,13
06/15/2006,0:01:00,1,12.5
06/15/2006,1:01:00,1,13
06/15/2006,2:01:00,1,12.5
06/15/2006,3:01:00,1,12
06/15/2006,4:01:00,1,12.5
06/15/2006,5:01:00,1,12.5
06/15/2006,6:01:00,1,12
06/15/2006,7:01:00,1,13
06/15/2006,8:01:00,1,15
06/15/2006,9:01:00,1,18
06/15/2006,10:01:00,1,20.5
06/15/2006,11:01:00,1,26.5
06/15/2006,12:01:00,1,28.5
06/15/2006,13:01:00,1,28.5
06/15/2006,14:01:00,1,30.5
06/15/2006,15:01:00,1,29.5
06/15/2006,16:01:00,1,21.5
06/15/2006,17:01:00,1,17.5
06/15/2006,18:01:00,1,16.5
06/15/2006,19:01:00,1,16
06/15/2006,20:01:00,1,15.5
06/15/2006,21:01:00,1,14.5
06/15/2006,22:01:00,1,14
06/15/2006,23:01:00,1,14
06/16/2006,0:01:00,1,13.5
06/16/2006,1:01:00,1,13.5
06/16/2006,2:01:00,1,13
06/16/2006,3:01:00,1,12.5
06/16/2006,4:01:00,1,12.5
06/16/2006,5:01:00,1,12
06/16/2006,6:01:00,1,12
06/16/2006,7:01:00,1,12.5
06/16/2006,8:01:00,1,14
06/16/2006,9:01:00,1,15.5
06/16/2006,10:01:00,1,18
06/16/2006,11:01:00,1,18
06/16/2006,12:01:00,1,21
06/16/2006,13:01:00,1,19.5
06/16/2006,14:01:00,1,19
06/16/2006,15:01:00,1,21.5
06/16/2006,16:01:00,1,18
06/16/2006,17:01:00,1,14
06/16/2006,18:01:00,1,13
06/16/2006,19:01:00,1,13.5
06/16/2006,20:01:00,1,13.5
06/16/2006,21:01:00,1,13
06/16/2006,22:01:00,1,12
06/16/2006,23:01:00,1,11.5
06/17/2006,0:01:00,1,11.5
06/17/2006,1:01:00,1,11.5
06/17/2006,2:01:00,1,12
06/17/2006,3:01:00,1,12.5
06/17/2006,4:01:00,1,12.5
06/17/2006,5:01:00,1,12
06/17/2006,6:01:00,1,12
06/17/2006,7:01:00,1,12.5
06/17/2006,8:01:00,1,14
06/17/2006,9:01:00,1,16
06/17/2006,10:01:00,1,19.5
06/17/2006,11:01:00,1,18.5
06/17/2006,12:01:00,1,23
06/17/2006,13:01:00,1,27
06/17/2006,14:01:00,1,31
06/17/2006,15:01:00,1,32
06/17/2006,16:01:00,1,26.5
06/17/2006,17:01:00,1,17.5
06/17/2006,18:01:00,1,14.5
06/17/2006,19:01:00,1,14.5
06/17/2006,20:01:00,1,14
06/17/2006,21:01:00,1,13.5
06/17/2006,22:01:00,1,12.5
06/17/2006,23:01:00,1,12
06/18/2006,0:01:00,1,11.5
06/18/2006,1:01:00,1,11.5
06/18/2006,2:01:00,1,11
06/18/2006,3:01:00,1,11
06/18/2006,4:01:00,1,11
06/18/2006,5:01:00,1,12.5
06/18/2006,6:01:00,1,12.5
06/18/2006,7:01:00,1,12.5
06/18/2006,8:01:00,1,13
06/18/2006,9:01:00,1,14.5
06/18/2006,10:01:00,1,16.5
06/18/2006,11:01:00,1,18.5
06/18/2006,12:01:00,1,23
06/18/2006,13:01:00,1,28
06/18/2006,14:01:00,1,31
06/18/2006,15:01:00,1,31.5
06/18/2006,16:01:00,1,31
06/18/2006,17:01:00,1,23
06/18/2006,18:01:00,1,17.5
06/18/2006,19:01:00,1,15.5
06/18/2006,20:01:00,1,15
06/18/2006,21:01:00,1,14
06/18/2006,22:01:00,1,12.5
06/18/2006,23:01:00,1,12
06/19/2006,0:01:00,1,11
06/19/2006,1:01:00,1,10.5
06/19/2006,2:01:00,1,9.5
06/19/2006,3:01:00,1,9
06/19/2006,4:01:00,1,9
06/19/2006,5:01:00,1,8.5
06/19/2006,6:01:00,1,8.5
06/19/2006,7:01:00,1,11
06/19/2006,8:01:00,1,13
06/19/2006,9:01:00,1,15.5
06/19/2006,10:01:00,1,22
06/19/2006,11:01:00,1,25.5
06/19/2006,12:01:00,1,29
06/19/2006,13:01:00,1,31.5
06/19/2006,14:01:00,1,32.5
06/19/2006,15:01:00,1,32
06/19/2006,16:01:00,1,30.5
06/19/2006,17:01:00,1,29
06/19/2006,18:01:00,1,23
06/19/2006,19:01:00,1,17.5
06/19/2006,20:01:00,1,16
06/19/2006,21:01:00,1,15.5
06/19/2006,22:01:00,1,14
06/19/2006,23:01:00,1,12.5
06/20/2006,0:01:00,1,12.5
06/20/2006,1:01:00,1,12
06/20/2006,2:01:00,1,11.5
06/20/2006,3:01:00,1,12
06/20/2006,4:01:00,1,12
06/20/2006,5:01:00,1,11.5
06/20/2006,6:01:00,1,12
06/20/2006,7:01:00,1,13
06/20/2006,8:01:00,1,14.5
06/20/2006,9:01:00,1,16
06/20/2006,10:01:00,1,17
06/20/2006,11:01:00,1,19.5
06/20/2006,12:01:00,1,23
06/20/2006,13:01:00,1,28
06/20/2006,14:01:00,1,31
06/20/2006,15:01:00,1,31
06/20/2006,16:01:00,1,28.5
06/20/2006,17:01:00,1,26.5
06/20/2006,18:01:00,1,25.5
06/20/2006,19:01:00,1,20.5
06/20/2006,20:01:00,1,16
06/20/2006,21:01:00,1,15.5
06/20/2006,22:01:00,1,14.5
06/20/2006,23:01:00,1,13
06/21/2006,0:01:00,1,12.5
06/21/2006,1:01:00,1,12
06/21/2006,2:01:00,1,11.5
06/21/2006,3:01:00,1,12
06/21/2006,4:01:00,1,11
06/21/2006,5:01:00,1,10.5
06/21/2006,6:01:00,1,10.5
06/21/2006,7:01:00,1,11
06/21/2006,8:01:00,1,12
06/21/2006,9:01:00,1,17
06/21/2006,10:01:00,1,18.5
06/21/2006,11:01:00,1,21.5
06/21/2006,12:01:00,1,27.5
06/21/2006,13:01:00,1,31
06/21/2006,14:01:00,1,33
06/21/2006,15:01:00,1,33.5
06/21/2006,16:01:00,1,33
06/21/2006,17:01:00,1,31
06/21/2006,18:01:00,1,28
06/21/2006,19:01:00,1,24.5
06/21/2006,20:01:00,1,20.5
