date_ibutton,time_ibutton,number,temp
2009-12-06,6:01:00,6,8.5
2009-12-06,7:01:00,6,10
2009-12-06,8:01:00,6,12.5
2009-12-06,9:01:00,6,13
2009-12-06,10:01:00,6,13
2009-12-06,11:01:00,6,13.5
2009-12-06,12:01:00,6,13.5
2009-12-06,13:01:00,6,14
2009-12-06,14:01:00,6,15
2009-12-06,15:01:00,6,14.5
2009-12-06,16:01:00,6,14.5
2009-12-06,17:01:00,6,13
2009-12-06,18:01:00,6,12.5
2009-12-06,19:01:00,6,11.5
2009-12-06,20:01:00,6,13
2009-12-06,21:01:00,6,13.5
2009-12-06,22:01:00,6,13.5
2009-12-06,23:01:00,6,14
2009-12-07,0:01:00,6,14
2009-12-07,1:01:00,6,14
2009-12-07,2:01:00,6,10
2009-12-07,3:01:00,6,8
2009-12-07,4:01:00,6,7.5
2009-12-07,5:01:00,6,6.5
2009-12-07,6:01:00,6,6.5
2009-12-07,7:01:00,6,8
2009-12-07,8:01:00,6,11
2009-12-07,9:01:00,6,14.5
2009-12-07,10:01:00,6,13
2009-12-07,11:01:00,6,13
2009-12-07,12:01:00,6,13.5
2009-12-07,13:01:00,6,14
2009-12-07,14:01:00,6,20.5
2009-12-07,15:01:00,6,27
2009-12-07,16:01:00,6,24
2009-12-07,17:01:00,6,21
2009-12-07,18:01:00,6,18
2009-12-07,19:01:00,6,15.5
2009-12-07,20:01:00,6,13
2009-12-07,21:01:00,6,11
2009-12-07,22:01:00,6,14.5
2009-12-07,23:01:00,6,14.5
2009-12-08,0:01:00,6,14.5
2009-12-08,1:01:00,6,14.5
2009-12-08,2:01:00,6,11
2009-12-08,3:01:00,6,10.5
2009-12-08,4:01:00,6,10.5
2009-12-08,5:01:00,6,11
2009-12-08,6:01:00,6,10.5
2009-12-08,7:01:00,6,11
2009-12-08,8:01:00,6,11
2009-12-08,9:01:00,6,11.5
2009-12-08,10:01:00,6,16
2009-12-08,11:01:00,6,14
2009-12-08,12:01:00,6,14
2009-12-08,13:01:00,6,14
2009-12-08,14:01:00,6,14.5
2009-12-08,15:01:00,6,17
2009-12-08,16:01:00,6,19
2009-12-08,17:01:00,6,18.5
2009-12-08,18:01:00,6,16
2009-12-08,19:01:00,6,14
2009-12-08,20:01:00,6,13
2009-12-08,21:01:00,6,11.5
2009-12-08,22:01:00,6,12
2009-12-08,23:01:00,6,14
2009-12-09,0:01:00,6,14.5
2009-12-09,1:01:00,6,14
2009-12-09,2:01:00,6,13.5
2009-12-09,3:01:00,6,10.5
2009-12-09,4:01:00,6,11
2009-12-09,5:01:00,6,10.5
2009-12-09,6:01:00,6,10.5
2009-12-09,7:01:00,6,11.5
2009-12-09,8:01:00,6,13
2009-12-09,9:01:00,6,16.5
2009-12-09,10:01:00,6,20
2009-12-09,11:01:00,6,25.5
2009-12-09,12:01:00,6,14.5
2009-12-09,13:01:00,6,14.5
2009-12-09,14:01:00,6,14.5
2009-12-09,15:01:00,6,14.5
2009-12-09,16:01:00,6,15.5
2009-12-09,17:01:00,6,15
2009-12-09,18:01:00,6,15
2009-12-09,19:01:00,6,14
2009-12-09,20:01:00,6,13.5
2009-12-09,21:01:00,6,13
2009-12-09,22:01:00,6,12.5
2009-12-09,23:01:00,6,12.5
2009-12-10,0:01:00,6,14
2009-12-10,1:01:00,6,14
2009-12-10,2:01:00,6,14
2009-12-10,3:01:00,6,13.5
2009-12-10,4:01:00,6,11
2009-12-10,5:01:00,6,11.5
2009-12-10,6:01:00,6,11.5
2009-12-10,7:01:00,6,12
2009-12-10,8:01:00,6,14
2009-12-10,9:01:00,6,16
2009-12-10,10:01:00,6,14.5
2009-12-10,11:01:00,6,21.5
2009-12-10,12:01:00,6,23
2009-12-10,13:01:00,6,14.5
2009-12-10,14:01:00,6,14
2009-12-10,15:01:00,6,14
2009-12-10,16:01:00,6,14.5
2009-12-10,17:01:00,6,14.5
2009-12-10,18:01:00,6,14.5
2009-12-10,19:01:00,6,13
2009-12-10,20:01:00,6,12
2009-12-10,21:01:00,6,10.5
2009-12-10,22:01:00,6,9.5
2009-12-10,23:01:00,6,8.5
2009-12-11,0:01:00,6,8
2009-12-11,1:01:00,6,8
2009-12-11,2:01:00,6,11
2009-12-11,3:01:00,6,9.5
2009-12-11,4:01:00,6,8.5
2009-12-11,5:01:00,6,8.5
2009-12-11,6:01:00,6,8.5
2009-12-11,7:01:00,6,10
2009-12-11,8:01:00,6,13.5
2009-12-11,9:01:00,6,18.5
2009-12-11,10:01:00,6,26.5
2009-12-11,11:01:00,6,30.5
2009-12-11,12:01:00,6,31.5
2009-12-11,13:01:00,6,30.5
2009-12-11,14:01:00,6,20.5
2009-12-11,15:01:00,6,16.5
2009-12-11,16:01:00,6,16.5
2009-12-11,17:01:00,6,15.5
2009-12-11,18:01:00,6,20.5
2009-12-11,19:01:00,6,20
2009-12-11,20:01:00,6,19
2009-12-11,21:01:00,6,17.5
2009-12-11,22:01:00,6,16.5
2009-12-11,23:01:00,6,16.5
2009-12-12,0:01:00,6,16
2009-12-12,1:01:00,6,16
2009-12-12,2:01:00,6,15.5
2009-12-12,3:01:00,6,14
2009-12-12,4:01:00,6,14
2009-12-12,5:01:00,6,12.5
2009-12-12,6:01:00,6,13
2009-12-12,7:01:00,6,15
2009-12-12,8:01:00,6,18.5
2009-12-12,9:01:00,6,21.5
2009-12-12,10:01:00,6,26
2009-12-12,11:01:00,6,31
2009-12-12,12:01:00,6,32
2009-12-12,13:01:00,6,29
2009-12-12,14:01:00,6,31
2009-12-12,15:01:00,6,17
2009-12-12,16:01:00,6,16
2009-12-12,17:01:00,6,16
2009-12-12,18:01:00,6,15.5
2009-12-12,19:01:00,6,15
2009-12-12,20:01:00,6,15
2009-12-12,21:01:00,6,14
2009-12-12,22:01:00,6,13
2009-12-12,23:01:00,6,13
2009-12-13,0:01:00,6,13
2009-12-13,1:01:00,6,12.5
2009-12-13,2:01:00,6,12.5
2009-12-13,3:01:00,6,13
2009-12-13,4:01:00,6,14
2009-12-13,5:01:00,6,14.5
2009-12-13,6:01:00,6,14.5
2009-12-13,7:01:00,6,14
2009-12-13,8:01:00,6,15
2009-12-13,9:01:00,6,16.5
2009-12-13,10:01:00,6,20.5
2009-12-13,11:01:00,6,27
2009-12-13,12:01:00,6,30.5
2009-12-13,13:01:00,6,31.5
2009-12-13,14:01:00,6,32.5
2009-12-13,15:01:00,6,31
2009-12-13,16:01:00,6,17.5
2009-12-13,17:01:00,6,16
2009-12-13,18:01:00,6,15.5
2009-12-13,19:01:00,6,15.5
2009-12-13,20:01:00,6,15
2009-12-13,21:01:00,6,14.5
2009-12-13,22:01:00,6,14.5
2009-12-13,23:01:00,6,14.5
2009-12-14,0:01:00,6,14.5
2009-12-14,1:01:00,6,14.5
2009-12-14,2:01:00,6,14
2009-12-14,3:01:00,6,14
2009-12-14,4:01:00,6,14
2009-12-14,5:01:00,6,14.5
2009-12-14,6:01:00,6,14.5
2009-12-14,7:01:00,6,14.5
2009-12-14,8:01:00,6,15
2009-12-14,9:01:00,6,16
2009-12-14,10:01:00,6,17
2009-12-14,11:01:00,6,19
2009-12-14,12:01:00,6,21
2009-12-14,13:01:00,6,32
2009-12-14,14:01:00,6,30.5
2009-12-14,15:01:00,6,26.5
2009-12-14,16:01:00,6,27
2009-12-14,17:01:00,6,18
2009-12-14,18:01:00,6,16.5
2009-12-14,19:01:00,6,17
2009-12-14,20:01:00,6,16.5
2009-12-14,21:01:00,6,16.5
2009-12-14,22:01:00,6,16
2009-12-14,23:01:00,6,16
2009-12-15,0:01:00,6,16.5
2009-12-15,1:01:00,6,16.5
2009-12-15,2:01:00,6,16
2009-12-15,3:01:00,6,15
2009-12-15,4:01:00,6,15
2009-12-15,5:01:00,6,15
2009-12-15,6:01:00,6,15
2009-12-15,7:01:00,6,15
2009-12-15,8:01:00,6,15
2009-12-15,9:01:00,6,21.5
2009-12-15,10:01:00,6,26.5
2009-12-15,11:01:00,6,29
2009-12-15,12:01:00,6,31
2009-12-15,13:01:00,6,25.5
2009-12-15,14:01:00,6,31
2009-12-15,15:01:00,6,31
2009-12-15,16:01:00,6,26
2009-12-15,17:01:00,6,19
2009-12-15,18:01:00,6,17.5
2009-12-15,19:01:00,6,16.5
2009-12-15,20:01:00,6,16
2009-12-15,21:01:00,6,16
2009-12-15,22:01:00,6,16
2009-12-15,23:01:00,6,15
2009-12-16,0:01:00,6,14.5
2009-12-16,1:01:00,6,14.5
2009-12-16,2:01:00,6,14.5
2009-12-16,3:01:00,6,14
2009-12-16,4:01:00,6,14
2009-12-16,5:01:00,6,13.5
2009-12-16,6:01:00,6,15
2009-12-16,7:01:00,6,15.5
2009-12-16,8:01:00,6,15.5
2009-12-16,9:01:00,6,15.5
2009-12-16,10:01:00,6,15
2009-12-16,11:01:00,6,14
2009-12-16,12:01:00,6,14
2009-12-16,13:01:00,6,14.5
2009-12-16,14:01:00,6,16.5
2009-12-16,15:01:00,6,19
2009-12-16,16:01:00,6,20.5
2009-12-16,17:01:00,6,19.5
2009-12-16,18:01:00,6,16.5
2009-12-16,19:01:00,6,16.5
2009-12-16,20:01:00,6,16
2009-12-16,21:01:00,6,16
2009-12-16,22:01:00,6,14
2009-12-16,23:01:00,6,12
2009-12-17,0:01:00,6,10.5
2009-12-17,1:01:00,6,10
2009-12-17,2:01:00,6,9.5
2009-12-17,3:01:00,6,9
2009-12-17,4:01:00,6,9
2009-12-17,5:01:00,6,9.5
2009-12-17,6:01:00,6,9.5
2009-12-17,7:01:00,6,10.5
2009-12-17,8:01:00,6,15
2009-12-17,9:01:00,6,15
2009-12-17,10:01:00,6,15.5
2009-12-17,11:01:00,6,23
2009-12-17,12:01:00,6,28
2009-12-17,13:01:00,6,28
2009-12-17,14:01:00,6,30
2009-12-17,15:01:00,6,27
2009-12-17,16:01:00,6,25
2009-12-17,17:01:00,6,22
2009-12-17,18:01:00,6,21
2009-12-17,19:01:00,6,16.5
2009-12-17,20:01:00,6,16
2009-12-17,21:01:00,6,16.5
2009-12-17,22:01:00,6,16
2009-12-17,23:01:00,6,16
2009-12-18,0:01:00,6,14.5
2009-12-18,1:01:00,6,14
2009-12-18,2:01:00,6,13.5
2009-12-18,3:01:00,6,13.5
2009-12-18,4:01:00,6,13
2009-12-18,5:01:00,6,13
2009-12-18,6:01:00,6,13
2009-12-18,7:01:00,6,13.5
2009-12-18,8:01:00,6,15
2009-12-18,9:01:00,6,15.5
2009-12-18,10:01:00,6,15.5
2009-12-18,11:01:00,6,16
2009-12-18,12:01:00,6,25.5
2009-12-18,13:01:00,6,27.5
2009-12-18,14:01:00,6,27.5
2009-12-18,15:01:00,6,28
2009-12-18,16:01:00,6,30.5
2009-12-18,17:01:00,6,25.5
2009-12-18,18:01:00,6,23
2009-12-18,19:01:00,6,21.5
2009-12-18,20:01:00,6,17.5
2009-12-18,21:01:00,6,17
2009-12-18,22:01:00,6,16.5
2009-12-18,23:01:00,6,15.5
2009-12-19,0:01:00,6,15.5
2009-12-19,1:01:00,6,15
2009-12-19,2:01:00,6,15
2009-12-19,3:01:00,6,14.5
2009-12-19,4:01:00,6,14
2009-12-19,5:01:00,6,13.5
2009-12-19,6:01:00,6,13.5
2009-12-19,7:01:00,6,14.5
2009-12-19,8:01:00,6,15
2009-12-19,9:01:00,6,15
2009-12-19,10:01:00,6,15.5
